clean_filename,degraded_filename,source_id,degradation_category,mse_before,psnr_before,ssim_before,mse_after,psnr_after,ssim_after,mse_delta,psnr_delta,ssim_delta,operations_applied
lrp_img10.jpg,lrp_img10_(Complex_All).jpg,lrp_img10,Complex_All,1075.7484773662552,17.813696208211034,0.6705792519531975,1031.8250008230452,17.99474314372731,0.6771696854807366,43.92347654320997,0.1810469355162745,0.006590433527539186,artifact_inpainting|unsharp_mask
lrp_img10.jpg,lrp_img10_(Faded_Scratches_Blur).jpg,lrp_img10,Faded_Scratches_Blur,1123.01618436214,17.626943457208583,0.6574577161492065,1115.2018633744856,17.657268744570707,0.6644554033181912,7.814320987654355,0.030325287362124698,0.006997687168984745,unsharp_mask
lrp_img10.jpg,lrp_img10_(Noise_JPEG_Blur).jpg,lrp_img10,Noise_JPEG_Blur,284.89862716049385,23.583900043559115,0.7186111024325211,265.7134814814815,23.886667711377903,0.7277151968974221,19.18514567901235,0.30276766781878806,0.009104094464901014,unsharp_mask
lrp_img100.jpg,lrp_img100_(Complex_All).jpg,lrp_img100,Complex_All,649.7771163604549,20.003159484317056,0.7869673162278262,637.6985914260717,20.084649031664632,0.7984798881359612,12.078524934383154,0.08148954734757652,0.011512571908134928,unsharp_mask
lrp_img100.jpg,lrp_img100_(Faded_Scratches_Blur).jpg,lrp_img100,Faded_Scratches_Blur,716.925571303587,19.57606289788632,0.7778708676563902,702.7320454943132,19.662906024864842,0.7943058805519728,14.193525809273865,0.08684312697852192,0.01643501289558258,unsharp_mask
lrp_img100.jpg,lrp_img100_(Noise_JPEG_Blur).jpg,lrp_img100,Noise_JPEG_Blur,136.22236395450568,26.788319482637874,0.79454305189993,118.36247769028871,27.398663131664243,0.8077311130800967,17.859886264216968,0.610343649026369,0.013188061180166688,unsharp_mask
lrp_img101.jpg,lrp_img101_(Complex_All).jpg,lrp_img101,Complex_All,937.0768728522337,18.413051412863087,0.7599148026028243,959.482147050401,18.310434625776914,0.764315518053387,-22.405274198167263,-0.10261678708617339,0.004400715450562753,artifact_inpainting|unsharp_mask
lrp_img101.jpg,lrp_img101_(Faded_Scratches_Blur).jpg,lrp_img101,Faded_Scratches_Blur,938.8364339919817,18.40490425686307,0.7215847442998613,930.8776503436426,18.44187757515364,0.732782618819249,7.958783648339136,0.03697331829057049,0.011197874519387696,unsharp_mask
lrp_img101.jpg,lrp_img101_(Noise_JPEG_Blur).jpg,lrp_img101,Noise_JPEG_Blur,80.31700887743413,29.082728345258005,0.771033506835189,67.53100300687285,29.83577160723986,0.7870649077602608,12.786005870561283,0.7530432619818548,0.016031400925071826,unsharp_mask
lrp_img102.jpg,lrp_img102_(Complex_All).jpg,lrp_img102,Complex_All,662.15398534139,19.921213635619026,0.6686771689502526,663.5754650963677,19.911900407341584,0.6801934796771718,-1.4214797549776677,-0.009313228277441965,0.011516310726919166,artifact_inpainting|unsharp_mask
